"Target;""Gene"";""Note"";""Product"";""Abs.Offset"";""Ref.seq.len"";""Translated""",,,,,,
"SED_RS00455;"""";""Derived by automated computational analysis using gene prediction method: Protein Homology."";""thr operon leader peptide"";""189"";""66"";""yes""",,,,,,
"SED_RS00460;"""";""Derived by automated computational analysis using gene prediction method: Protein Homology."";""bifunctional aspartate kinase/homoserine dehydrogenase I"";""336"";""2463"";""yes""",,,,,,
"SED_RS00465;"""";""Derived by automated computational analysis using gene prediction method: Protein Homology."";""homoserine kinase"";""2800"";""930"";""yes""",,,,,,
"SED_RS00470;"""";""Derived by automated computational analysis using gene prediction method: Protein Homology."";""threonine synthase"";""3733"";""1287"";""yes""",,,,,,
"SED_RS00475;"""";""Derived by automated computational analysis using gene prediction method: Protein Homology."";""peroxide stress protein YaaA"";""5113"";""774"";""yes""",,,,,,
"SED_RS00480;"""";""Derived by automated computational analysis using gene prediction method: Protein Homology."";""sodium:alanine symporter family protein"";""5965"";""1431"";""yes""",,,,,,
"SED_RS00485;"""";""Derived by automated computational analysis using gene prediction method: Protein Homology."";""transaldolase"";""7664"";""954"";""yes""",,,,,,
"SED_RS00490;"""";""Derived by automated computational analysis using gene prediction method: Protein Homology."";""molybdopterin adenylyltransferase"";""8728"";""591"";""yes""",,,,,,
"SED_RS00495;"""";""Derived by automated computational analysis using gene prediction method: Protein Homology."";""acetate uptake transporter"";""9375"";""567"";""yes""",,,,,,
"SED_RS00500;"""";""Derived by automated computational analysis using gene prediction method: Protein Homology."";""DUF3944 domain-containing protein"";""10091"";""714"";""yes""",,,,,,
"SED_RS00505;"""";""Derived by automated computational analysis using gene prediction method: Protein Homology."";""DUF2541 domain-containing protein"";""10840"";""405"";""yes""",,,,,,
"SED_RS00510;"""";""Derived by automated computational analysis using gene prediction method: Protein Homology."";""molecular chaperone DnaK"";""11593"";""1917"";""yes""",,,,,,
"SED_RS00515;"""";""Derived by automated computational analysis using gene prediction method: Protein Homology."";""molecular chaperone DnaJ"";""13595"";""1140"";""yes""",,,,,,
"SED_RS00520;"""";""Derived by automated computational analysis using gene prediction method: Protein Homology."";""LysR family transcriptional regulator"";""15015"";""948"";""yes""",,,,,,
"SED_RS00525;"""";""Derived by automated computational analysis using gene prediction method: Protein Homology."";""hypothetical protein"";""16089"";""345"";""yes""",,,,,,
"SED_RS00530;"""";""Derived by automated computational analysis using gene prediction method: Protein Homology."";""hypothetical protein"";""16494"";""534"";""yes""",,,,,,
"SED_RS00535;"""";""Derived by automated computational analysis using gene prediction method: Protein Homology."";""transcriptional regulator"";""17044"";""444"";""yes""",,,,,,
